"artist";"title";"day";"hour"
"Alphaville";"Forever Young";"2020-04-05";"13:00"
"Alicia Keys";"Empire State Of Mind (Part Ii) Broken Down";"2020-04-05";"12:52"
"Vanessa Paradis";"Marylin & John";"2020-04-05";"12:46"
"Rag'n'bone Man";"Human";"2020-04-05";"12:42"
"Tina Arena";"Aimer Jusqu'a L'impossible";"2020-04-05";"12:39"
"Kylie Minogue";"Can't Get You Out Of My Head";"2020-04-05";"12:36"
"Marc Lavoine";"Je Ne Veux Qu'elle";"2020-04-05";"12:21"
"Spice Girls";"Wannabe";"2020-04-05";"12:07"
"Patrick Bruel";"Alors Regarde";"2020-04-05";"12:00"
"Toto";"Africa";"2020-04-05";"11:47"
"Dido";"Here With Me";"2020-04-05";"11:38"
"Coldplay";"Paradise";"2020-04-05";"11:34"
"Charlie Puth";"Attention";"2020-04-05";"11:22"
"Kendji Girac";"Tu Vas Manquer";"2020-04-05";"11:03"
"Shania Twain";"Man I Feel Like A Woman";"2020-04-05";"10:59"
"Lionel Richie";"Do It To Me";"2020-04-05";"10:51"
"Jenifer";"Au Soleil";"2020-04-05";"10:48"
"Tracy Chapman";"Baby Can I Hold You";"2020-04-05";"10:45"
"Frero Delavega";"Le Chant Des Sirenes";"2020-04-05";"10:42"
"The Connells";"74-75";"2020-04-05";"10:37"
"France Gall";"Ella Elle L'a";"2020-04-05";"10:29"
"Gregory Lemarchal";"Ecris L'histoire";"2020-04-05";"10:22"
"Whitney Houston";"I Will Always Love You";"2020-04-05";"10:08"
"10cc";"I'm Not In Love";"2020-04-05";"10:01"
"Christina Aguilera";"Genie In A Bottle";"2020-04-05";"09:57"
"Anastacia";"I'm Outta Love";"2020-04-05";"09:48"
"Michael Bolton";"When A Man Loves A Woman";"2020-04-05";"09:44"
"Richard Marx";"Right Here Waiting";"2020-04-05";"09:37"
"Amy Winehouse";"Back To Black";"2020-04-05";"09:30"
"Clara Luciani";"La Grenade";"2020-04-05";"09:27"
"Phil Collins";"Against All Odds (Take A Look At Me Now)";"2020-04-05";"09:24"
"Beyonce";"Single Ladies (Put A Ring On It)";"2020-04-05";"09:09"
"Ginie Line";"Le Dilemme";"2020-04-05";"08:51"
"Billy Paul";"Your Song";"2020-04-05";"08:43"
"Youssou N'dour";"7 Seconds";"2020-04-05";"08:36"
"Kyo";"Le Chemin";"2020-04-05";"08:32"
"Joe Cocker";"You Are So Beautiful";"2020-04-05";"08:29"
"Supertramp";"Goodbye Stranger";"2020-04-05";"08:20"
"Bruno Mars";"The Lazy Song";"2020-04-05";"08:13"
"Francis Cabrel";"Encore Et Encore";"2020-04-05";"08:08"
"Seal";"Crazy";"2020-04-05";"08:01"
"Lionel Richie";"Lady";"2020-04-05";"07:51"
"Julien Dore";"Paris Seychelles";"2020-04-05";"07:48"
"Berlin";"Take My Breath Away";"2020-04-05";"07:44"
"Les Frangines";"Donnez-Moi";"2020-04-05";"07:41"
"Shola Ama";"You Might Need Somebody";"2020-04-05";"07:37"
"Eros Ramazzotti";"Una Storia Importante";"2020-04-05";"07:30"
"Christophe Mae";"On S'attache";"2020-04-05";"07:22"
"Cyndi Lauper";"Time After Time";"2020-04-05";"07:15"
"Gims & Sting";"Reste";"2020-04-05";"07:11"
"Queen";"The Show Must Go On";"2020-04-05";"07:07"
"Kendji Girac";"Tu Vas Manquer";"2020-04-05";"07:04"
"Bananarama";"Cruel Summer";"2020-04-05";"07:00"
"Kelly Clarkson";"Because Of You";"2020-04-05";"06:57"
